Unnamed: 0,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
0,Player C,Team C,31,164.2382364537619,64.89955396719397,Defender,11.0,2.0,4,3,81.64491167972037,10.883001151396796,42,4,22,6,0.3745401188473625,55,0,18.39059471142627,1.864902009779013,1.4166666666666667,247.07476286210922,2022
1,Player D,Team C,22,164.4896428796635,55.63615910140583,Defender,2.0,16.0,8,2,76.28801786805352,5.650023687983772,17,6,27,6,0.9507143064099162,96,8,15.01721859229897,0.2228573217623242,6.666666666666667,216.06604460661515,2019
2,Player A,Team C,27,343.2978654862621,89.32584968634967,Defender,,13.0,8,0,78.24726490329448,9.236842052422816,2,6,23,5,0.7319939418114051,36,8,17.96608436512796,0.0,8.0,359.93677700691495,2022
3,Player C,Team C,29,184.5673489593816,50.95230768154678,Forward,13.0,1.0,3,3,99.74274027848745,8.523576289995585,58,5,3,4,0.5986584841970366,37,4,19.347216458468402,0.0774867744926575,2.142857142857143,271.34791068992786,2020
4,Player C,Team C,27,192.1728130438869,78.83288083269557,Defender,6.0,8.0,1,2,51.430636397089856,7.239479412607473,61,3,12,8,0.15601864044243652,14,1,6.884614656643946,1.0298223935138813,9.857142857142858,112.18595216347336,2022
5,Player D,Team A,28,195.9700122792626,55.1368811656406,Forward,6.0,,1,4,95.748608047319,8.119712677433899,38,7,23,1,0.15599452033620265,27,8,6.448808454034185,1.5178046603793793,1.2857142857142858,,2020
6,Player A,Team C,19,184.9501353747693,78.36580480505339,Midfielder,13.0,,8,3,92.0945380791152,5.005241040704807,90,11,0,2,0.05808361216819946,83,7,17.051117398844536,3.7123169880276934,5.785714285714286,,2020
7,Player A,Team C,22,160.22525250992214,52.79525324859265,Goalkeeper,11.0,,8,1,,8.240935434929092,63,1,18,8,0.8661761457749352,31,9,17.991890886412556,1.9199147817182585,7.75,,2020
8,Player C,Team A,24,167.45267106074135,108.4652082426138,Goalkeeper,,1.0,2,0,94.04731768191814,5.784083422362598,72,12,29,1,0.6011150117432088,73,9,13.756421313169785,0.7579372828413474,,,2020
9,Player B,Team A,23,,64.6817295756996,Goalkeeper,26.0,3.0,4,2,82.42806211864246,14.213021727481411,80,12,19,2,0.7080725777960455,81,5,10.49000821625781,5.126407668152073,2.925925925925926,539.6323304247805,2020
10,Player C,Team A,39,174.5329790227604,,Defender,,13.0,4,2,94.46772583506052,5.74332880046846,59,7,4,5,0.020584494295802447,83,6,14.789444541128356,1.0796096806199735,,,2019
11,Player C,Team A,20,180.05403974534983,,Goalkeeper,27.0,12.0,1,0,79.7365441131573,14.531058877156743,41,12,12,9,0.9699098521619943,44,5,9.58496108888686,0.0,2.357142857142857,206.8442925131479,2021
12,Player C,Team A,30,161.73588714314243,102.23862429325436,Midfielder,10.0,,1,3,,9.914263347434638,4,13,15,6,0.8324426408004217,68,4,8.575785382302023,0.0,4.818181818181818,120.45319165281579,2021
13,Player C,Team A,20,173.9391190318262,65.33268531494409,Forward,0.0,12.0,9,1,78.81106920258867,10.131731552932926,45,4,15,1,0.21233911067827616,48,3,12.322178142908982,1.46740178685672,24.0,94.6981213169735,2021
14,Player D,Team C,38,167.1671869850129,,Goalkeeper,22.0,4.0,0,4,58.95311239650686,12.881257386811264,3,6,10,7,0.18182496720710062,57,6,8.242307414095695,0.8292802644525203,2.4347826086956523,183.12452897420044,2019
15,Player A,Team C,23,185.88280665035492,100.09716437987376,Forward,12.0,11.0,1,3,,11.953797125684524,13,2,8,8,0.18340450985343382,75,3,12.255554124727594,0.6935581547400088,6.076923076923077,169.0112019196737,2020
16,Player D,Team B,28,178.5708947729736,,Forward,280.0,5.0,6,0,,7.370611228891958,92,13,17,0,0.3042422429595377,22,9,19.34909758195358,0.7031385962063181,3.1379310344827585,342.67500953092025,2021
17,Player D,Team C,34,179.81270587735634,,Goalkeeper,23.0,13.0,0,3,97.37383082677924,5.254663490440628,10,6,14,5,0.5247564316322378,4,9,17.59676053426086,2.7078344109311416,0.2916666666666667,564.3048141191995,2021
