PU_ID,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
0,Player C,Team C,31,164.24,64.9,Defender,11.0,2.0,4,3,81.64,10.88,42,4,22,6,0.37,55,0,18.39,1.86,1.42,247.07,2022
1,Player D,Team C,22,164.49,55.64,Defender,2.0,16.0,8,2,76.29,5.65,17,6,27,6,0.95,96,8,15.02,0.22,6.67,216.07,2019
3,Player C,Team C,29,184.57,50.95,Forward,13.0,1.0,3,3,99.74,8.52,58,5,3,4,0.6,37,4,19.35,0.08,2.14,271.35,2020
4,Player C,Team C,27,192.17,78.83,Defender,6.0,8.0,1,2,51.43,7.24,61,3,12,8,0.16,14,1,6.88,1.03,9.86,112.19,2022
9,Player B,Team A,23,179.87,64.68,Goalkeeper,26.0,3.0,4,2,82.43,14.21,80,12,19,2,0.71,81,5,10.49,5.13,2.93,539.63,2020
11,Player C,Team A,20,180.05,93.73,Goalkeeper,27.0,12.0,1,0,79.74,14.53,41,12,12,9,0.97,44,5,9.58,0.0,2.36,206.84,2021
13,Player C,Team A,20,173.94,65.33,Forward,0.0,12.0,9,1,78.81,10.13,45,4,15,1,0.21,48,3,12.32,1.47,24.0,94.7,2021
14,Player D,Team C,38,167.17,109.7,Goalkeeper,22.0,4.0,0,4,58.95,12.88,3,6,10,7,0.18,57,6,8.24,0.83,2.43,183.12,2019
17,Player D,Team C,34,179.81,92.28,Goalkeeper,23.0,13.0,0,3,97.37,5.25,10,6,14,5,0.52,4,9,17.6,2.71,0.29,564.3,2021
18,Player D,Team C,27,177.11,81.17,Goalkeeper,22.0,7.0,0,3,79.42,12.78,59,8,12,3,0.43,81,9,19.12,6.92,3.78,293.64,2019
20,Player B,Team A,34,168.59,81.58,Defender,2.0,6.0,1,0,58.42,10.98,4,12,2,9,0.61,46,4,10.32,1.52,21.67,138.38,2021
23,Player D,Team A,28,182.27,53.48,Midfielder,6.0,9.0,3,0,52.08,7.86,20,6,17,5,0.37,11,3,19.21,2.32,10.71,228.08,2022
24,Player D,Team C,24,197.16,86.69,Forward,19.0,12.0,6,0,54.86,6.79,78,1,8,6,0.46,31,2,15.25,0.59,0.5,219.67,2022
25,Player B,Team C,19,225.74,52.3,Midfielder,27.0,9.0,9,2,89.08,5.27,23,4,2,8,0.79,11,5,8.17,3.41,0.46,681.77,2021
29,Player D,Team B,25,171.53,115.27,Goalkeeper,25.0,6.0,5,4,99.6,6.94,39,1,20,8,0.05,94,3,11.93,0.05,0.04,554.06,2020
30,Player A,Team C,37,184.61,69.18,Forward,21.0,17.0,6,3,88.22,7.37,25,6,21,7,0.61,10,4,17.82,6.95,2.0,755.02,2020
31,Player A,Team C,31,181.78,91.25,Midfielder,9.0,15.0,4,0,89.63,14.59,99,8,6,1,0.17,26,9,11.98,0.0,7.9,244.67,2022
33,Player B,Team B,39,186.25,57.24,Forward,11.0,15.0,3,4,59.61,8.63,29,2,11,6,0.95,8,1,5.36,3.26,1.92,299.64,2019
34,Player B,Team B,38,187.93,66.18,Midfielder,14.0,18.0,7,3,107.81,5.39,63,5,29,1,0.97,8,3,8.75,1.97,5.13,593.3,2022
39,Player C,Team C,32,181.18,116.94,Midfielder,25.0,14.0,5,0,106.62,8.47,8,12,7,7,0.44,13,2,10.47,0.14,0.5,770.79,2020
45,Player D,Team C,22,162.99,84.72,Defender,20.0,2.0,2,4,50.26,9.39,11,12,9,0,0.66,27,7,11.03,3.35,2.62,259.42,2021
46,Player D,Team B,28,178.43,74.34,Midfielder,18.0,0.0,6,3,93.69,10.15,35,1,8,4,0.31,64,4,14.98,1.01,3.47,207.39,2021
47,Player C,Team B,32,195.63,109.07,Goalkeeper,27.0,12.0,0,1,97.78,14.42,10,5,19,5,0.52,2,7,19.01,5.7,1.07,753.66,2020
48,Player B,Team A,25,163.78,75.26,Defender,18.0,11.0,2,4,60.12,5.16,66,13,15,2,0.55,97,2,5.31,1.38,3.05,487.02,2021
49,Player B,Team C,36,199.56,107.85,Midfielder,3.0,8.0,5,4,92.11,12.58,26,12,26,0,0.18,26,6,5.17,0.73,21.5,215.19,2019
50,Player C,Team B,25,197.96,81.65,Midfielder,27.0,1.0,8,1,98.66,5.73,62,4,19,1,0.97,92,7,16.55,2.5,0.57,186.26,2021
51,Player B,Team C,36,163.13,86.66,Goalkeeper,19.0,8.0,4,1,66.35,5.78,70,2,3,2,0.78,83,6,14.7,0.68,2.2,517.97,2019
52,Player C,Team C,35,191.78,108.36,Forward,4.0,7.0,4,1,59.25,11.54,65,7,9,2,0.94,69,1,9.39,1.79,9.2,128.34,2020
55,Player D,Team A,26,176.74,104.18,Forward,10.0,1.0,5,3,63.8,7.69,80,1,0,6,0.92,30,9,7.89,2.57,2.55,142.74,2021
57,Player A,Team C,36,192.41,92.81,Defender,24.0,5.0,9,2,80.87,12.76,33,2,23,6,0.2,38,3,17.51,3.04,3.68,325.36,2019
59,Player A,Team A,36,177.2,110.72,Midfielder,4.0,2.0,7,0,103.19,7.5,77,1,6,4,0.33,81,2,13.8,0.9,15.2,63.4,2019
60,Player C,Team A,18,183.73,72.9,Forward,19.0,13.0,7,3,84.31,12.4,80,2,21,2,0.39,65,0,18.11,0.26,0.2,294.01,2022
63,Player A,Team A,24,173.92,62.85,Midfielder,20.0,7.0,2,2,71.42,6.91,16,9,23,3,0.36,90,9,17.93,8.19,2.33,400.9,2019
66,Player D,Team C,22,164.29,74.75,Goalkeeper,15.0,14.0,0,1,103.19,10.47,88,9,3,5,0.14,43,2,19.7,2.09,0.06,553.63,2021
68,Player D,Team A,38,161.34,91.97,Defender,9.0,17.0,2,4,96.91,12.93,47,10,4,7,0.07,46,3,8.35,3.48,4.7,272.48,2022
72,Player A,Team B,39,197.85,58.85,Goalkeeper,16.0,12.0,0,3,77.57,9.5,10,3,17,6,0.01,92,1,11.62,5.98,5.29,552.78,2021
73,Player B,Team C,32,189.33,206.51,Midfielder,23.0,16.0,7,3,67.63,7.75,84,12,8,4,0.82,51,3,14.28,0.14,2.33,285.37,2022
75,Player B,Team C,18,185.81,67.99,Forward,240.0,16.0,2,3,98.03,10.44,92,1,6,2,0.73,80,6,9.96,1.82,0.2,1613.41,2020
77,Player D,Team C,18,164.28,108.36,Forward,24.0,15.0,7,0,93.42,10.85,33,6,13,9,0.07,84,7,6.4,0.61,2.88,526.47,2020
80,Player C,Team A,35,183.47,52.91,Forward,14.0,0.0,4,4,97.07,10.12,61,5,6,2,0.86,55,8,5.89,2.05,3.2,97.59,2020
82,Player A,Team A,33,162.89,101.52,Defender,60.0,14.0,4,2,65.9,6.22,11,12,23,4,0.33,24,8,18.45,0.24,6.57,258.76,2022
83,Player D,Team A,30,187.63,165.56,Forward,2.0,4.0,2,4,69.81,11.78,67,2,7,4,0.06,36,0,8.62,2.84,6.33,51.75,2022
85,Player C,Team C,18,175.17,81.59,Defender,29.0,14.0,6,1,51.92,13.07,13,5,4,7,0.33,54,2,9.54,1.3,1.67,375.32,2021
86,Player B,Team B,33,173.61,60.44,Goalkeeper,8.0,9.0,0,0,94.49,14.78,3,2,22,7,0.73,34,4,5.67,0.82,6.22,249.78,2020
87,Player A,Team B,18,184.83,118.95,Defender,2.0,4.0,1,4,82.96,11.27,97,11,10,2,0.64,83,8,13.35,2.32,30.33,97.5,2020
88,Player D,Team A,34,181.98,224.5,Goalkeeper,5.0,2.0,8,4,63.75,5.77,81,4,22,7,0.89,17,7,17.52,0.13,11.17,75.86,2019
90,Player D,Team B,19,192.99,78.81,Forward,8.0,14.0,7,4,76.85,12.41,73,2,14,1,0.12,89,6,14.26,2.28,7.0,433.22,2019
93,Player B,Team B,31,162.46,87.26,Goalkeeper,11.0,9.0,0,3,77.56,12.75,42,6,17,4,0.56,53,3,7.91,0.0,1.75,340.56,2021
94,Player B,Team B,35,186.89,109.66,Forward,3.0,3.0,4,1,54.11,6.33,19,11,14,2,0.77,50,4,16.0,4.54,19.5,60.33,2022
95,Player B,Team B,23,175.21,73.95,Forward,25.0,10.0,5,4,90.51,12.91,0,0,18,9,0.49,72,4,12.53,3.46,1.46,497.74,2019
98,Player B,Team C,26,189.71,86.53,Forward,26.0,14.0,7,2,71.73,11.53,71,12,3,4,0.03,45,3,6.92,5.88,1.85,322.86,2020
101,Player B,Team C,34,170.97,83.74,Defender,29.0,11.0,3,1,60.19,10.19,88,6,28,4,0.64,86,1,12.77,0.42,3.23,753.29,2019
103,Player D,Team B,31,165.78,82.38,Goalkeeper,5.0,5.0,2,2,79.95,14.43,58,9,9,4,0.51,13,0,18.42,0.52,4.5,138.41,2022
104,Player B,Team B,39,165.36,79.33,Goalkeeper,25.0,17.0,0,2,63.18,8.73,88,2,12,2,0.91,20,5,11.8,0.4,3.23,819.34,2020
106,Player B,Team C,23,192.17,74.85,Midfielder,14.0,5.0,0,0,50.92,6.99,12,9,3,2,0.41,99,1,12.73,0.8,4.13,223.76,2021
107,Player D,Team B,24,167.23,118.78,Midfielder,0.0,14.0,8,0,92.03,6.11,76,1,4,2,0.76,47,2,12.79,0.0,55.0,188.91,2019
108,Player B,Team A,29,176.26,125.31,Forward,12.0,18.0,5,3,98.58,10.51,46,13,9,9,0.23,19,6,19.26,1.73,6.77,182.78,2019
109,Player C,Team C,20,179.01,91.37,Defender,15.0,4.0,0,1,85.16,10.55,49,7,23,8,0.08,45,5,14.74,1.03,5.25,164.67,2020
113,Player B,Team A,33,189.56,107.34,Midfielder,180.0,11.0,5,3,72.87,12.95,6,8,27,1,0.81,14,5,14.6,0.7,0.52,3118.89,2019
115,Player D,Team B,25,170.52,83.93,Forward,1.0,6.0,0,3,68.92,14.21,50,8,4,2,0.87,86,9,7.67,5.01,4.0,100.18,2022
117,Player B,Team A,30,179.91,88.12,Defender,240.0,1.0,4,2,102.63,14.32,1,12,4,3,0.19,34,7,10.07,0.54,1.64,256.57,2022
120,Player D,Team A,27,175.94,119.36,Defender,25.0,12.0,5,1,60.0,5.07,76,6,8,3,0.81,3,6,17.22,0.2,1.12,731.81,2020
121,Player A,Team C,38,176.36,60.91,Midfielder,7.0,4.0,4,0,63.9,13.02,0,3,6,1,0.9,47,5,10.16,0.46,7.38,134.39,2022
122,Player B,Team A,26,177.83,67.75,Goalkeeper,11.0,4.0,6,4,58.47,14.69,0,5,8,0,0.32,97,5,18.7,3.7,2.33,252.04,2022
128,Player D,Team C,36,179.74,85.47,Defender,25.0,9.0,1,2,87.21,6.02,72,0,17,8,0.01,24,7,5.15,0.0,0.15,417.9,2019
130,Player D,Team B,20,183.79,99.61,Goalkeeper,3.0,15.0,3,3,95.95,11.05,82,3,4,0,0.42,95,5,18.9,0.0,17.25,219.84,2021
131,Player A,Team B,23,187.99,77.36,Midfielder,8.0,1.0,6,2,73.8,12.29,86,5,10,1,0.22,14,9,10.77,0.38,5.11,106.94,2022
132,Player A,Team B,20,169.85,108.89,Forward,26.0,3.0,3,4,73.07,5.51,40,10,28,9,0.12,54,0,6.4,1.1,1.85,254.78,2020
135,Player A,Team B,33,199.31,96.33,Defender,26.0,0.0,6,2,88.0,13.92,93,4,17,4,0.32,78,6,7.78,4.2,1.11,491.84,2021
140,Player D,Team B,24,167.62,97.64,Midfielder,280.0,3.0,0,2,97.04,10.27,75,1,7,2,0.96,81,5,7.41,3.34,0.11,5050.05,2021
141,Player A,Team C,26,177.69,79.89,Defender,24.0,8.0,7,0,64.29,7.86,1,6,29,9,0.25,80,6,9.13,2.12,3.64,235.18,2019
142,Player D,Team A,37,185.71,74.25,Midfielder,9.0,15.0,2,1,79.8,9.63,27,9,28,2,0.5,40,9,13.92,0.0,7.6,395.76,2021
143,Player D,Team C,29,175.59,75.85,Defender,19.0,6.0,6,0,57.61,6.45,53,14,28,3,0.3,39,8,10.41,3.0,2.9,230.77,2019
144,Player D,Team C,22,189.66,112.21,Midfielder,13.0,4.0,2,2,90.14,12.1,91,11,18,8,0.28,52,7,17.66,1.58,3.5,153.12,2022
145,Player C,Team B,20,249.14,82.71,Defender,0.0,12.0,3,0,59.32,8.7,75,7,13,2,0.04,32,5,15.75,4.55,30.0,159.73,2022
147,Player C,Team C,21,183.81,86.04,Goalkeeper,12.0,13.0,1,4,70.09,11.05,57,8,13,7,0.5,27,9,14.37,3.88,4.0,332.97,2019
