PU_ID,Season,PlayerFatigue,MatchPressure,InjuryHistory
0,2022,0.37,55,0
1,2019,0.95,96,8
3,2020,0.6,37,4
4,2022,0.16,14,1
9,2020,0.71,81,5
11,2021,0.97,44,5
13,2021,0.21,48,3
14,2019,0.18,57,6
17,2021,0.52,4,9
18,2019,0.43,81,9
20,2021,0.61,46,4
23,2022,0.37,11,3
24,2022,0.46,31,2
25,2021,0.79,11,5
29,2020,0.05,94,3
30,2020,0.61,10,4
31,2022,0.17,26,9
33,2019,0.95,8,1
34,2022,0.97,8,3
39,2020,0.44,13,2
45,2021,0.66,27,7
46,2021,0.31,64,4
47,2020,0.52,2,7
48,2021,0.55,97,2
49,2019,0.18,26,6
50,2021,0.97,92,7
51,2019,0.78,83,6
52,2020,0.94,69,1
55,2021,0.92,30,9
57,2019,0.2,38,3
59,2019,0.33,81,2
60,2022,0.39,65,0
63,2019,0.36,90,9
66,2021,0.14,43,2
68,2022,0.07,46,3
72,2021,0.01,92,1
73,2022,0.82,51,3
75,2020,0.73,80,6
77,2020,0.07,84,7
80,2020,0.86,55,8
82,2022,0.33,24,8
83,2022,0.06,36,0
85,2021,0.33,54,2
86,2020,0.73,34,4
87,2020,0.64,83,8
88,2019,0.89,17,7
90,2019,0.12,89,6
93,2021,0.56,53,3
94,2022,0.77,50,4
95,2019,0.49,72,4
98,2020,0.03,45,3
101,2019,0.64,86,1
103,2022,0.51,13,0
104,2020,0.91,20,5
106,2021,0.41,99,1
107,2019,0.76,47,2
108,2019,0.23,19,6
109,2020,0.08,45,5
113,2019,0.81,14,5
115,2022,0.87,86,9
117,2022,0.19,34,7
120,2020,0.81,3,6
121,2022,0.9,47,5
122,2022,0.32,97,5
128,2019,0.01,24,7
130,2021,0.42,95,5
131,2022,0.22,14,9
132,2020,0.12,54,0
135,2021,0.32,78,6
140,2021,0.96,81,5
141,2019,0.25,80,6
142,2021,0.5,40,9
143,2019,0.3,39,8
144,2022,0.28,52,7
145,2022,0.04,32,5
147,2019,0.5,27,9
151,2020,0.24,74,1
154,2019,0.99,49,8
157,2021,0.76,23,4
158,2022,0.24,98,6
159,2022,0.73,72,4
160,2020,0.37,13,2
161,2020,0.63,23,9
162,2019,0.63,57,7
163,2020,0.54,62,7
168,2020,0.04,23,9
169,2022,0.59,35,5
170,2019,0.68,67,0
172,2022,0.51,33,7
173,2019,0.23,46,7
176,2022,0.69,19,1
178,2020,0.94,87,0
179,2021,0.14,15,9
180,2022,0.34,78,5
183,2020,0.88,18,8
184,2022,0.26,70,1
185,2020,0.66,59,4
186,2021,0.82,32,8
193,2019,0.63,80,5
196,2022,0.73,56,1
200,2021,0.64,78,5
202,2021,0.16,28,4
203,2019,0.9,64,3
205,2020,0.01,82,8
207,2020,0.66,56,3
209,2021,0.16,41,2
210,2020,0.55,4,2
212,2019,0.65,30,4
213,2019,0.22,88,9
214,2022,0.71,84,0
216,2019,0.33,56,6
217,2020,0.75,31,5
219,2020,0.85,7,2
220,2022,0.66,90,2
221,2020,0.57,77,9
222,2019,0.09,54,8
