PU_ID,Team,Season,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets
0,Team C,2022,11.0,2.0,4,3,81.64,10.88,42,4,22,6
1,Team C,2019,2.0,16.0,8,2,76.29,5.65,17,6,27,6
3,Team C,2020,13.0,1.0,3,3,99.74,8.52,58,5,3,4
4,Team C,2022,6.0,8.0,1,2,51.43,7.24,61,3,12,8
9,Team A,2020,26.0,3.0,4,2,82.43,14.21,80,12,19,2
11,Team A,2021,27.0,12.0,1,0,79.74,14.53,41,12,12,9
13,Team A,2021,0.0,12.0,9,1,78.81,10.13,45,4,15,1
14,Team C,2019,22.0,4.0,0,4,58.95,12.88,3,6,10,7
17,Team C,2021,23.0,13.0,0,3,97.37,5.25,10,6,14,5
18,Team C,2019,22.0,7.0,0,3,79.42,12.78,59,8,12,3
20,Team A,2021,2.0,6.0,1,0,58.42,10.98,4,12,2,9
23,Team A,2022,6.0,9.0,3,0,52.08,7.86,20,6,17,5
24,Team C,2022,19.0,12.0,6,0,54.86,6.79,78,1,8,6
25,Team C,2021,27.0,9.0,9,2,89.08,5.27,23,4,2,8
29,Team B,2020,25.0,6.0,5,4,99.6,6.94,39,1,20,8
30,Team C,2020,21.0,17.0,6,3,88.22,7.37,25,6,21,7
31,Team C,2022,9.0,15.0,4,0,89.63,14.59,99,8,6,1
33,Team B,2019,11.0,15.0,3,4,59.61,8.63,29,2,11,6
34,Team B,2022,14.0,18.0,7,3,107.81,5.39,63,5,29,1
39,Team C,2020,25.0,14.0,5,0,106.62,8.47,8,12,7,7
45,Team C,2021,20.0,2.0,2,4,50.26,9.39,11,12,9,0
46,Team B,2021,18.0,0.0,6,3,93.69,10.15,35,1,8,4
47,Team B,2020,27.0,12.0,0,1,97.78,14.42,10,5,19,5
48,Team A,2021,18.0,11.0,2,4,60.12,5.16,66,13,15,2
49,Team C,2019,3.0,8.0,5,4,92.11,12.58,26,12,26,0
50,Team B,2021,27.0,1.0,8,1,98.66,5.73,62,4,19,1
51,Team C,2019,19.0,8.0,4,1,66.35,5.78,70,2,3,2
52,Team C,2020,4.0,7.0,4,1,59.25,11.54,65,7,9,2
55,Team A,2021,10.0,1.0,5,3,63.8,7.69,80,1,0,6
57,Team C,2019,24.0,5.0,9,2,80.87,12.76,33,2,23,6
59,Team A,2019,4.0,2.0,7,0,103.19,7.5,77,1,6,4
60,Team A,2022,19.0,13.0,7,3,84.31,12.4,80,2,21,2
63,Team A,2019,20.0,7.0,2,2,71.42,6.91,16,9,23,3
66,Team C,2021,15.0,14.0,0,1,103.19,10.47,88,9,3,5
68,Team A,2022,9.0,17.0,2,4,96.91,12.93,47,10,4,7
72,Team B,2021,16.0,12.0,0,3,77.57,9.5,10,3,17,6
73,Team C,2022,23.0,16.0,7,3,67.63,7.75,84,12,8,4
75,Team C,2020,240.0,16.0,2,3,98.03,10.44,92,1,6,2
77,Team C,2020,24.0,15.0,7,0,93.42,10.85,33,6,13,9
80,Team A,2020,14.0,0.0,4,4,97.07,10.12,61,5,6,2
82,Team A,2022,60.0,14.0,4,2,65.9,6.22,11,12,23,4
83,Team A,2022,2.0,4.0,2,4,69.81,11.78,67,2,7,4
85,Team C,2021,29.0,14.0,6,1,51.92,13.07,13,5,4,7
86,Team B,2020,8.0,9.0,0,0,94.49,14.78,3,2,22,7
87,Team B,2020,2.0,4.0,1,4,82.96,11.27,97,11,10,2
88,Team A,2019,5.0,2.0,8,4,63.75,5.77,81,4,22,7
90,Team B,2019,8.0,14.0,7,4,76.85,12.41,73,2,14,1
93,Team B,2021,11.0,9.0,0,3,77.56,12.75,42,6,17,4
94,Team B,2022,3.0,3.0,4,1,54.11,6.33,19,11,14,2
95,Team B,2019,25.0,10.0,5,4,90.51,12.91,0,0,18,9
98,Team C,2020,26.0,14.0,7,2,71.73,11.53,71,12,3,4
101,Team C,2019,29.0,11.0,3,1,60.19,10.19,88,6,28,4
103,Team B,2022,5.0,5.0,2,2,79.95,14.43,58,9,9,4
104,Team B,2020,25.0,17.0,0,2,63.18,8.73,88,2,12,2
106,Team C,2021,14.0,5.0,0,0,50.92,6.99,12,9,3,2
107,Team B,2019,0.0,14.0,8,0,92.03,6.11,76,1,4,2
108,Team A,2019,12.0,18.0,5,3,98.58,10.51,46,13,9,9
109,Team C,2020,15.0,4.0,0,1,85.16,10.55,49,7,23,8
113,Team A,2019,180.0,11.0,5,3,72.87,12.95,6,8,27,1
115,Team B,2022,1.0,6.0,0,3,68.92,14.21,50,8,4,2
117,Team A,2022,240.0,1.0,4,2,102.63,14.32,1,12,4,3
120,Team A,2020,25.0,12.0,5,1,60.0,5.07,76,6,8,3
121,Team C,2022,7.0,4.0,4,0,63.9,13.02,0,3,6,1
122,Team A,2022,11.0,4.0,6,4,58.47,14.69,0,5,8,0
128,Team C,2019,25.0,9.0,1,2,87.21,6.02,72,0,17,8
130,Team B,2021,3.0,15.0,3,3,95.95,11.05,82,3,4,0
131,Team B,2022,8.0,1.0,6,2,73.8,12.29,86,5,10,1
132,Team B,2020,26.0,3.0,3,4,73.07,5.51,40,10,28,9
135,Team B,2021,26.0,0.0,6,2,88.0,13.92,93,4,17,4
140,Team B,2021,280.0,3.0,0,2,97.04,10.27,75,1,7,2
141,Team C,2019,24.0,8.0,7,0,64.29,7.86,1,6,29,9
142,Team A,2021,9.0,15.0,2,1,79.8,9.63,27,9,28,2
143,Team C,2019,19.0,6.0,6,0,57.61,6.45,53,14,28,3
144,Team C,2022,13.0,4.0,2,2,90.14,12.1,91,11,18,8
145,Team B,2022,0.0,12.0,3,0,59.32,8.7,75,7,13,2
147,Team C,2019,12.0,13.0,1,4,70.09,11.05,57,8,13,7
151,Team B,2020,16.0,4.0,9,1,87.99,13.94,85,7,7,3
154,Team A,2019,7.0,16.0,2,3,56.45,5.85,24,9,13,2
157,Team A,2021,10.0,19.0,5,2,82.03,11.31,47,0,5,9
158,Team C,2022,17.0,17.0,3,1,77.87,8.74,47,2,13,2
159,Team A,2022,26.0,14.0,4,0,77.97,8.38,60,13,14,2
160,Team B,2020,20.0,4.0,6,3,87.11,10.86,52,13,1,7
161,Team A,2020,22.0,16.0,9,2,95.12,10.68,8,13,17,0
162,Team B,2019,6.0,13.0,2,3,69.38,9.05,10,3,29,9
163,Team B,2020,28.0,0.0,8,0,76.85,7.78,26,6,9,4
168,Team B,2020,18.0,0.0,8,3,93.87,12.02,10,9,24,9
169,Team A,2022,8.0,2.0,1,4,86.88,5.84,56,0,4,5
170,Team B,2019,11.0,19.0,0,3,55.01,6.63,66,6,7,4
172,Team A,2022,290.0,15.0,6,1,60.6,12.91,23,8,12,5
173,Team A,2019,6.0,10.0,9,2,65.87,12.73,83,11,6,2
176,Team A,2022,10.0,4.0,3,3,117.17,14.74,78,6,8,8
178,Team C,2020,28.0,12.0,7,2,93.74,14.81,83,14,23,7
