PU_ID,Season,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining
0,2022,18.39,1.86,1.42,247.07
1,2019,15.02,0.22,6.67,216.07
3,2020,19.35,0.08,2.14,271.35
4,2022,6.88,1.03,9.86,112.19
9,2020,10.49,5.13,2.93,539.63
11,2021,9.58,0.0,2.36,206.84
13,2021,12.32,1.47,24.0,94.7
14,2019,8.24,0.83,2.43,183.12
17,2021,17.6,2.71,0.29,564.3
18,2019,19.12,6.92,3.78,293.64
20,2021,10.32,1.52,21.67,138.38
23,2022,19.21,2.32,10.71,228.08
24,2022,15.25,0.59,0.5,219.67
25,2021,8.17,3.41,0.46,681.77
29,2020,11.93,0.05,0.04,554.06
30,2020,17.82,6.95,2.0,755.02
31,2022,11.98,0.0,7.9,244.67
33,2019,5.36,3.26,1.92,299.64
34,2022,8.75,1.97,5.13,593.3
39,2020,10.47,0.14,0.5,770.79
45,2021,11.03,3.35,2.62,259.42
46,2021,14.98,1.01,3.47,207.39
47,2020,19.01,5.7,1.07,753.66
48,2021,5.31,1.38,3.05,487.02
49,2019,5.17,0.73,21.5,215.19
50,2021,16.55,2.5,0.57,186.26
51,2019,14.7,0.68,2.2,517.97
52,2020,9.39,1.79,9.2,128.34
55,2021,7.89,2.57,2.55,142.74
57,2019,17.51,3.04,3.68,325.36
59,2019,13.8,0.9,15.2,63.4
60,2022,18.11,0.26,0.2,294.01
63,2019,17.93,8.19,2.33,400.9
66,2021,19.7,2.09,0.06,553.63
68,2022,8.35,3.48,4.7,272.48
72,2021,11.62,5.98,5.29,552.78
73,2022,14.28,0.14,2.33,285.37
75,2020,9.96,1.82,0.2,1613.41
77,2020,6.4,0.61,2.88,526.47
80,2020,5.89,2.05,3.2,97.59
82,2022,18.45,0.24,6.57,258.76
83,2022,8.62,2.84,6.33,51.75
85,2021,9.54,1.3,1.67,375.32
86,2020,5.67,0.82,6.22,249.78
87,2020,13.35,2.32,30.33,97.5
88,2019,17.52,0.13,11.17,75.86
90,2019,14.26,2.28,7.0,433.22
93,2021,7.91,0.0,1.75,340.56
94,2022,16.0,4.54,19.5,60.33
95,2019,12.53,3.46,1.46,497.74
